Tweets,Sentimental Analysis
bitsJeffTiedrich Isnxexxt it interesting that all those in the GOP that have bitched for years about Obamacare andoxexxa httpstcoldsTJgZ,Negative
bScheduled my COVID vaccine Hope they have a cot or Ill end up on the floor COVIDvaccine fearofneedlesxexxa httpstcohUDMkFfyt,Negative
bDramatic and onbrandCOVID COVIDvaccine httpstcoqbNEujuJ,Positive 
bxexdxaxefxbxf graphs Vaccines are LIFE SAVINGnnMichigan hang in there We got this nnMaskUp and get your COVIDvaccine txexxa httpstcoWZCXKCGvc,Positive 
bGot JampJ vaccine today Feeling great so far I cannot convey my gratitude towards every brilliant mind that made thxexxa httpstcojGwlpZQNwl,Positive 
bBogochIsaac cristina_CP No extended hours Confusing and difficult to navigate booking process online Limitedxexxa httpstcotoateLxphx,Negative
bIt is imperative that open discussion can take place regarding the vaccine which is no longer possible For parentsxexxa httpstcoEcZCIPR,Negative
bThis I cried out loud Google COVIDvaccine httpstcooXTMdZIp,Negative
bNeurotic moody and demanding with poor impulse control And still would be a better leader than our Premierxexxa httpstcopRhkIobdT,Negative
bnDont believe the lies of the media They are working for the leftist conspirators and murderers covidnewsxexxa httpstcobgSGLBffa,Negative
bIncredibly thankful to be wiped out after my second COVIDvaccine Thinking about the farmer I chatted with duringxexxa httpstcodxWWmdpxjr,Positive 
bI need Billmaher to see this text I didnt even know how to respond to my cousin and aunt declining my wedding ixexxa httpstcojbUqwySGxJ,Positive 
bDidnt even know how to respond to my cousin and aunt declining my wedding invite lol nTrevornoah covidxexxa httpstcouYUOAUZcYR,Neutral
b Rite Aids show CovidVaccine slots in CAnAnaheimnBellflowernBeverly HillsnCypressnEl SegundonFresnonGardenanInxexxa httpstcoFkOtxByVX,Positive 
bDone with nd dose xfxfxaxb COVID COVIDvaccine httpstconcxIvHXqx,Neutral
bThis man has been burned alive thumbtacks in his eyes and laid in beds of barbwire If he can get a shot so canxexxa httpstcoRpIwsUYQN,Negative
bclevelanddotcom The efficacy of the COVIDvaccine  an absolute ZERO xfxfxx  a great advertisement,Positive 
bI talk about the COVIDvaccine on my YouTube channel Katie Peters Movie Queen I believe you should talk with your doctor and take it,Positive 
bI say this as someone who has spent my free time working with a dozen churches the last few weeks to get their conxexxa httpstcoBWLUYNhirb,Negative
bSorry to spoil Easter with a picture of Dutton but hes talking trash against the states again auspolxexxa httpstcodJEPWtRB,Negative
bth amp nd REvil Ransomware Gang Bring in M   amp  Hacker makes K Creating Fake COVID Vaccine Ordersxexxa httpstcoRRxEmRODQ,Negative
bCrazy good news GODZILLA VS KONG had a  MILLION DOLLAR OPENING WEEKENDnnThe cinema is ALIVExexxa httpstcoHDoHCrk,Positive 
bRunning gag Ixexxm a Starbucks barista and my name isnxexxt pronounced or spelled right a lot but yxexxall my dad schedulxexxa httpstcoYnsuXcMHh,Neutral
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnClovisnEl CentronFresnonMaderanPalm SpringsnPortxexxa httpstcoYjwbUVYAdn,Positive 
bHALFWAY THERE xfxfxaxbnnI have never been happier to get stabbed in the arm by a needle Canxexxt wait for all the hugs andxexxa httpstcoVkrlFRzaK,Positive 
bSo wonderful COVIDvaccine httpstcoDHOHZd,Positive 
bCovid vaccinations hit another record average now above  million daily COVIDvaccine httpstcoUpwvRsdRnI,Positive 
bToday what I considered a COVIDVaccine success was a patient coming to my station then saying I dont  wanna doxexxa httpstcoyshMLHWfnr,Positive 
bKind of feels like the COVID vaccination card should have a barcode on it to be scanned at planes cruise ship txexxa httpstcorHKjbJR,Negative
bIf I asked you do drink a bottle with poison written on it would you drink it No you wouldnxexxt  so why the helxexxa httpstcoJUVqCHfc,Negative
bMeanwhile in Canada COVIDAB COVID COVIDvaccine httpstcozDOURCH,Neutral
bGot an appointment for the first half of the COVIDvaccine on the th Pfizer HerdImmunity,Positive 
bpam_landy Poupon somewherein For m doses enough for us all plus extra Pfizer would cost us b nnSxexxa httpstcoJyHVJGyahy,Negative
b Rite Aids show CovidVaccine slots in CAnAnaheimnBellflowernBeverly HillsnBuena ParknCypressnDowneynEl Segundoxexxa httpstcoWsBDcccUq,Neutral
bHow did I miss the fact that nScottMorrisonMP secured the cheapest COVIDvaccine by far for everyday Australiansxexxa httpstcoicrclJrHL,Neutral
bFilled with the fire of the Holy Spirit xfxfxaxf COVID COVID coronavirus COVIDvaccine SaturdayVibes Healthxexxa httpstcoEbfdcQjN,Neutral
bTotal number of COVID vaccinations administratednxfxfxxbaxfxfxxb Mnxfxfxxaxfxfxxb Mnxfxfxxaexfxfxxb Mnxfxfxxacxfxfxxa Mnxfxfxxaxfxfxxb Mnxfxfxxbxfxfxxb Mnxfxfxxaxfxfxxaa xexxa httpstcoEgZfUFK,Neutral
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnChiconClovisnEl CentronFresnonMaderanPalm Springxexxa httpstcojsGeQGM,Neutral
bGet your vaccine and letxexxs get back to normal Google COVIDvaccine COVID Moderna johnsonandjohnson Pfizer httpstcodpTUalvKY,Positive 
bCOVID vaccination doses administrated per  peoplenxfxfxxaexfxfxxb nxfxfxxbxfxfxxa nxfxfxxaxfxfxxaa nxfxfxxbxfxfxxbc nxfxfxxaxfxfxxb nxfxfxxaxfxfxxb nxfxfxxacxfxfxxa xexxa httpstcorBDzLCOkDa,Neutral
bGetting my COVIDvaccine st dose Wednesday SuperExcited xfxfxx xfxfxxa POTUS JoeBiden VP KamalaHarris xfxfxxxfxfxxxfxfxx,Neutral
bddiamond This was beyond brilliant amp totally unexpected Dan Wow Thank you Google for fighting the good fight COVIDvaccine,Negative
bMorrison Government COVIDvaccine  supply is still patchy httpstcoRrsFEWuc auspol ScottytheQueueJumper ScottyTheAnnouncer,Negative
bHappy Easter There are literally thousands of COVIDvaccine doses available this week all over the county for thosxexxa httpstcojafoHPm,Neutral
bBut he was vaccinated xfxfxxxfxfxaxaxfxfxxbxfxfxxcxfxfxxd covidscam CovidVaccineScam coronavirus COVIDIOTS COVIDvaccine CovidVaccines httpstcoNkNjSto,Neutral
bCovid shot numero uno DONEnCOVIDvaccine FauciOuchie,Neutral
bnd vax   days Got my vax tattoo my own personal xexxcMark of the Beastxexxd Also now a certified wifi hotspotxexxa httpstcoxJvPxWf,Positive 
bGot my first xfxfxx of COVIDvaccine Atoday and I am SO HAPPY I mean Im happy every year when I get my flu shot butxexxa httpstconLjAJvQXZ,Positive 
bPitches or pfizer xfxfxax xfxfxxxexexaxefxbxfxfxfxxaanTMobilePark or lumenfieldnMariners or medicinenCOVIDvaccinennSwedishxexxa httpstcoylSbPUs,Neutral
b Rite Aids show CovidVaccine slots in CAnAnaheimnBell GardensnBeverly HillsnBuena ParknCulver CitynDowneynEl Sxexxa httpstcoFswderAasb,Neutral
bFantastic question COVIDvaccine VaccinePassports httpstcoVLDnWTC,Neutral
bOne down One to go COVIDvaccine httpstcoNcoFYXoFRx,Neutral
bKudos to GovMikeDeWine OHNationalGuard CLE_State CLEpolice and all the volunteers for the great job at the massxexxa httpstcoDPlfYVthWb,Positive 
bGet your COVIDVaccine questions answered by experts on April  at  pm ET during Chat with TRICARE a live QampAxexxa httpstcoGsqgtXFNf,Neutral
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnClovisnEl CentronFresnonMaderanPalm SpringsnPortxexxa httpstcoGBZflEBC,Neutral
bYo did your Covid microchip contain G Because Ixexxm still only getting G LTE COVIDvaccine ATT,Negative
bFour million COVIDvaccine doses administered in a day nnhttpstcoqyPYAOTbl,Neutral
bI have booked a vaccine appointment Good grief that took more effort than it should have COVIDvaccine,Positive 
bNewly eligible for a COVIDvaccine Over  UCSDHealth appointments just posted for Monday and Tuesday at RIMACxexxa httpstcoqYGHhBRQT,Neutral
bKatyJayne We wonxexxt need NoVaccinePassports if we all have the COVIDvaccine  It is because some people wonxexxtxexxa httpstcomdlTzvbB,Negative
bFirst shot of the COVIDvaccine  xfxfxx So happy httpstcowKgdlbk,Neutral
bAll Covid vaccination centres near me are closed No bookings are possible atm So Easter has a higher priority thaxexxa httpstcotenkqCzLT,Negative
bI am rabidly provaccine Everyone should get their shot But can we PLEASE retire shots in arms nShots will sxexxa httpstcoknbnnaqns,Negative
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnChiconClovisnEl CentronFresnonMaderanPalm Springxexxa httpstcotnzlXUEy,Negative
bThe only available vaccine appointment Ixexxve been able to find is the JampJ vaccine  hours away xfxfxxac Ixexxll keep trying Hxexxa httpstcorqUCaoBh,Negative
bGot my second dose of PfizerVaccine COVIDvaccine httpstcoDYWVuCMhi,Neutral
bCOVIDvaccine is our best chance to beat this pandemic amp get back to normal nnI highly recommend the summary tablexexxa httpstcoNJrVgnEiMl,Positive 
bWere excited to share our latest episode with you this week featuring three fantastic guests including Will Geniaxexxa httpstcowOkMCwDkHF,Positive 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBell GardensnBeverly HillsnBuena ParknCypressnDowneynEl Segunxexxa httpstcovaVBTPeLHB,Neutral
bxexxaGovRonDeSantisxexxa such and IDIOT  Because why would we want to have a system to to check and insure someone is notxexxa httpstcoXkcTMQRPkw,Positive 
bDoes anyone know if youxexxve had ITP previously are you at greater risk of a clotting disorder with the Astra Zeneca COVIDvaccine,Neutral
bGov website still says additional  million Pfizer vaccines acquired Where the fuck are they auspolxexxa httpstcodyevLWSfY,Positive 
bPfizer Shot  xfxfxxn hours afternBack to normal more or less Ixexxm not achy anymore and arm soreness is gone Feelxexxa httpstcoavdR,Positive 
bOur largest COVIDvaccine event in Princegeorgescounty had very special visitors from MD government today Thank yxexxa httpstcoPVUQrMj,Positive 
bVaccine  done And in case youre curious I confirmed with the doctor that the microchip will not interfere witxexxa httpstcohAUBmpCG,Positive 
bEnd of Day  after st Covid Vaccine Arm pain now  only slight Mostly forgotten uless I accidentally apply pressuxexxa httpstcoMrRZYjdi,Positive 
bICYMIThisxfxfxxxfxfxfxbb COVID is still raging While the  COVIDvaccine is a great first step wexexxre NOT out of the woodxexxa httpstcozfbchNepgC,Positive 
bFeeling great after Pfizer dose one yesterday Tiny bit of nausea yesterday for a bit but otherwise xfxfxxdxfxfxxab Vaccinate COVIDvaccine,Positive 
bIs anyone in Montreal collecting outcomes data on ppl who had a  month delay between st and nd dose ofxexxa httpstcoDbCdisBJ,Neutral
